id,hasProblem,avgCycle,lanes,avgTimes
53086670,False,69,"['458063753#1_3', '337671934#2_1', ':53086670_w1_0', '337671934#2_2', '458063753#1_2', ':53086670_w0_0', ':53086670_w3_0', ':53086670_w2_0', '458063753#1_1']","[38.0, 22.0, 38.0, 22.0, 38.0, 22.0, 38.0, 22.0, 38.0]"
53086671,False,66,"['534549105#0_3', '534549105#0_1', ':53086671_w2_0', ':53086671_w1_0', ':53086671_w3_0', '534549105#0_2', '512249710#1_1', '512249710#1_2', ':53086671_w0_0']","[27.0, 27.0, 31.0, 35.0, 35.0, 27.0, 23.0, 23.0, 31.0]"
53086673,True,3600,"[':53086673_w0_0', ':53086673_w3_0', ':53086673_w1_0', ':53086673_w2_0', '511213262#1_1', '391421595_1', '511213262#1_2']","[0, 0, 37.0, 37.0, 37.0, 37.0, 37.0]"
53086674,False,87,"['-337671935_1', '428087110#3_1', '-484624021_2', '428087110#3_2', ':cluster_53086674_gneJ388_w2_0', '462696739_2', ':cluster_53086674_gneJ388_w0_0', ':cluster_53086674_gneJ388_w1_0', '462696739_1', '-484624021_1', ':cluster_53086674_gneJ388_w3_0']","[39.0, 40.0, 40.0, 40.0, 39.0, 39.0, 39.0, 40.0, 39.0, 40.0, 40.0]"
53088988,True,3600,"['gneE414_1', '322781943#0_1', '-14010209#2_1']","[0, 0, 0]"
53088990,False,87,"['164242784_1', '164242784_2', '-6397278#3_1', '-6397278#3_2', ':53088990_w2_0', ':53088990_w1_0', '-428301128#0_2', ':53088990_w3_0', ':53088990_w0_0', 'gneE410_1', '-428301128#0_1', 'gneE410_2']","[54.0, 54.0, 25.0, 25.0, 54.0, 25.0, 54.0, 25.0, 54.0, 25.0, 54.0, 25.0]"
53088992,False,87,"['332223495_1', 'gneE743_0', 'gneE458_3', '332223495_2', 'gneE458_2', '-164241876_1', ':53088992_w0_0', '-164242786#0_1', '-164241876_2', '-164242786#0_2', ':53088992_w2_0', ':53088992_w1_0', ':53088992_w3_0', 'gneE458_1']","[14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 39.0, 14.0, 14.0, 14.0, 19.0, 29.0, 29.0, 14.0]"
53088999,False,48,"[':53088999_w2_0', 'gneE389_1', ':53088999_w3_0', 'gneE387_1', 'gneE387_2', ':53088999_w0_0', 'gneE385_1', 'gneE392_1', ':53088999_w1_0', 'gneE392_2']","[6.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0]"
53089007,False,23,"['15257627#2_1', '-15257627#3_2', 'gneE432_1', ':53089007_w2_0', '-15257627#3_1', ':53089007_w0_0', '15257627#2_2', ':53089007_w1_0', 'gneE429_1', ':53089007_w3_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
53091442,False,28,"[':53091442_w0_0', '-6352930#2_1', '-371427803#14_2', '-371427803#14_1', ':53091442_w1_0', '371427803#10_2', '371427803#10_1', ':53091442_w2_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
53091449,False,37,"['22760466#3_3', ':53091449_w0_0', ':53091449_w3_0', ':53091449_w2_0', ':53091449_w1_0', '22760466#3_2', '243329197#5_1', '22760466#3_1']","[4.0, 7.0, 15.0, 7.0, 7.0, 15.0, 7.0, 15.0]"
53091453,False,69,"['215869721#1_1', ':53091453_w2_0', ':53091453_w3_0', '215869721#1_2', '215869721#1_3', '243329197#9_1', ':53091453_w0_0', ':53091453_w1_0', '215869721#1_4']","[37.0, 23.0, 37.0, 37.0, 37.0, 23.0, 23.0, 37.0, 37.0]"
53091454,True,3600,"['243329197#11_1', '458058811#0.84_3', '458058811#0.84_2', ':cluster_53091454_6127222560_w0_0', ':cluster_53091454_6127222560_w3_0', '-22927957#0.33_1', ':cluster_53091454_6127222560_w2_0', ':cluster_53091454_6127222560_w1_0', '458058811#0.84_1']","[0, 37.0, 37.0, 0, 37.0, 0, 37.0, 37.0, 0]"
